"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","YEAR","CENSUS_TYPE"
"Government",1,5179,"Albanvale Primary School","Primary","O","17","31","48","23","15","38","16","16","32","22","22","44","14","13","27","19","18","37","12","16","28","0","0","0","254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254",2018,"F"
"Government",1,5180,"Kismet Park Primary School","Primary","O","49","38","87","35","29","64","35.2","41","76.2","24","33","57","30","34","64","44","41","85","23.2","29","52.2","0","0","0","485.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","485.4",2018,"F"
"Government",1,5182,"Kunyung Primary School","Primary","O","61","65","126","66","62","128","58","62","120","53","55","108","49","48","97","54","36","90","36","32","68","0","0","0","737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","737",2018,"F"
"Government",1,5184,"Apollo Parkways Primary School","Primary","O","47","40","87","56","58","114","49","68","117","52","66","118","63","64","127","44","52","96","72","61","133","0","0","0","792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","792",2018,"F"
"Government",1,5185,"Mandama Primary School","Primary","O","28","37","65","30","19","49","26","36","62","28","37","65","31","21","52","38","22","60","29","27","56","0","0","0","409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409",2018,"F"
"Government",1,5186,"Bethal Primary School","Primary","O","21","18","39","22","27","49","23","17","40","26","18","44","17","18","35","16","17","33","22","11","33","0","0","0","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","273",2018,"F"
"Government",1,5189,"Cranbourne West Primary School","Primary","O","48","56","104","44","49","93","56","52","108","47","45","92","32","41","73","38","35","73","31","47","78","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","621",2018,"F"
"Government",1,5190,"Patterson Lakes Primary School","Primary","O","42","43","85","47","46","93","40","43","83","47","47","94","45.2","54","99.2","61","51","112","49","54","103","0","0","0","669.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","669.2",2018,"F"
"Government",1,5191,"Seaford Park Primary School","Primary","O","17","12","29","13","12","25","9","17","26","14","9","23","9","15","24","11","7","18","5","8","13","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158",2018,"F"
"Government",1,5193,"Billanook Primary School","Primary","O","33","31","64","42","23","65","34","30","64","26","35","61","31","36","67","22","28","50","19","25","44","0","0","0","415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","415",2018,"F"
