"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Government",1,2506,"Gembrook Primary School","Primary","O","28","16","44","18","22","40","20","20","40","22","17","39","16","14","30","8","17","25","14","15","29","0","0","0","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","247",2021,"F"
"Government",1,2518,"Wurruk Primary School","Primary","O","8","1","9","4","2","6","2","5","7","1","2","3","4","4","8","2","1","3","2","3","5","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41",2021,"F"
"Government",1,2520,"Willow Grove Primary School","Primary","O","9","5","14","3","8","11","5","7","12","6","4","10","7","5","12","6","4","10","8","4","12","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81",2021,"F"
"Government",1,2541,"Hoddles Creek Primary School","Primary","O","2","0","2","1","0","1","0","0","0","2","0","2","1","1","2","0","0","0","1","2","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10",2021,"F"
"Government",1,2560,"Beaconsfield Upper Primary School","Primary","O","33","25","58","44","13","57","25.4","25","50.4","39","25","64","23","25","48","25","20","45","16","10","26","0","0","0","348.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","348.4",2021,"F"
"Government",1,2563,"Congupna Primary School","Primary","O","3","8","11","5","4","9","6","7","13","11","2","13","12","3","15","4","4","8","7","6","13","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82",2021,"F"
"Government",1,2571,"Redesdale Mia Mia Primary School","Primary","O","0","0","0","1","1","2","1","0","1","2","1","3","2","1","3","1","1","2","2","1","3","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14",2021,"F"
"Government",1,2586,"Malvern Primary School","Primary","O","52","33","85","49","44","93","50","48","98","60","30","90","53","46","99","39","31","70","48","24","72","0","0","0","607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","607",2021,"F"
"Government",1,2599,"Launching Place Primary School","Primary","O","8","11","19","14","10","24","14","15","29","23","11","34","8","17","25","14","11","25","18","21","39","0","0","0","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195",2021,"F"
"Government",1,2605,"Carlton Gardens Primary School","Primary","O","32","37","69","31","32","63","30","29","59","40","33","73","30","26","56","22","17","39","26","28","54","0","0","0","413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413",2021,"F"
"Government",1,2608,"Ascot Vale Primary School","Primary","O","27","16","43","28","22","50","15","18","33","30","19","49","15","17","32","16","20","36","19","22","41","0","0","0","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","284",2021,"F"
