"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","Year","CENSUS_TYPE"
"Catholic",2,981,"St Francis Xavier School","Primary","O","39","35","74","27","33","60","33","29","62","29","33","62","31","20","51","23","30","53","20","26","46","0","0","0","408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408",2019,"F"
"Catholic",2,991,"St Laurence O'Toole School","Primary","O","11","12","23","14","8","22","15","12","27","18","14","32","12","20","32","15","14","29","17.6","19","36.6","0","0","0","201.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201.6",2019,"F"
"Catholic",2,999,"St Joseph's School","Primary","O","11","3","14","7","6","13","11","9","20","7","11","18","6","8","14","10","14","24","14","10","24","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127",2019,"F"
"Catholic",2,1013,"St Brigid's School","Primary","O","25","21","46","28","28","56","30","17","47","17","24","41","25","22","47","24","32","56","24","26","50","0","0","0","343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343",2019,"F"
"Catholic",2,1015,"St James School","Primary","O","8","10","18","11","11","22","11","10","21","16","5","21","10","8","18","9","2","11","4","8","12","0","0","0","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123",2019,"F"
"Catholic",2,1024,"St Mary's School","Primary","O","17","22","39","10","19","29","19","25","44","16","14","30","26","23","49","10","13","23","15","16","31","0","0","0","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245",2019,"F"
"Catholic",2,1033,"Holy Rosary School","Primary","O","25","19","44","23","22","45","16","16","32","19","28","47","14","20","34","24","19","43","26","14","40","0","0","0","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285",2019,"F"
"Catholic",2,1036,"St Aloysius' School","Primary","O","6","4","10","7","2","9","6","8","14","3","11","14","13","10","23","9","6","15","12","6","18","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103",2019,"F"
"Catholic",2,1041,"St Anthony's School","Primary","O","16","19","35","18","13.2","31.2","18","12","30","18","21","39","18","9","27","15","21","36","26","17.4","43.4","0","0","0","241.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","241.6",2019,"F"
"Catholic",2,1045,"St Joseph's School","Primary","O","11","8","19","11","11","22","16","7","23","16","9","25","23","12","35","8","10","18","11","10","21","0","0","0","163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163",2019,"F"
